stage,experiment,accuracy,macro_precision,macro_recall,macro_f1,metrics_json,classification_report_csv,confusion_matrix_csv,model_name,base_checkpoint,whether_dapt,dapt_checkpoint_path,best_epoch,valid_accuracy,valid_macro_precision,valid_macro_recall,valid_macro_f1,test_accuracy,test_macro_precision,test_macro_recall,test_macro_f1,base_model,whether_use_silver,silver_size,sample_weight_setting,train_rows,valid_rows,test_rows,delta_vs_gold_only_same_backbone_macro_f1,advertisement__precision,advertisement__recall,advertisement__f1,black_industry_or_policy_violation__precision,black_industry_or_policy_violation__recall,black_industry_or_policy_violation__f1,impersonation__precision,impersonation__recall,impersonation__f1,malicious_link_or_attachment__precision,malicious_link_or_attachment__recall,malicious_link_or_attachment__f1,phishing__precision,phishing__recall,phishing__f1,size,notes
baseline,text_only_lr,0.7866666666666666,0.631904761904762,0.639785431959345,0.6324763608484539,outputs/formal_baselines/metrics/text_only_lr/metrics_summary.json,outputs/formal_baselines/metrics/text_only_lr/classification_report.csv,outputs/formal_baselines/metrics/text_only_lr/confusion_matrix.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,structured_only_lgbm,0.7333333333333333,0.5632484182484182,0.5075512892904197,0.5220117322291234,outputs/formal_baselines/metrics/structured_only_lgbm/metrics_summary.json,outputs/formal_baselines/metrics/structured_only_lgbm/classification_report.csv,outputs/formal_baselines/metrics/structured_only_lgbm/confusion_matrix.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
baseline,text_plus_structured_lr,0.78,0.6345959595959596,0.6085789572746094,0.6120571648378874,outputs/formal_baselines/metrics/text_plus_structured_lr/metrics_summary.json,outputs/formal_baselines/metrics/text_plus_structured_lr/classification_report.csv,outputs/formal_baselines/metrics/text_plus_structured_lr/confusion_matrix.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dapt_downstream,multilingual_bert_base,,,,,,,,bert-base-multilingual-cased,models/bert-base-multilingual-cased,False,,3.0,0.7142857142857143,0.575742192540973,0.5362554112554113,0.5305939364502901,0.7053571428571429,0.6670050958882794,0.5822664121121208,0.6045176081482316,,,,,,,,,,,,,,,,,,,,,,,,,
dapt_downstream,multilingual_bert_dapt,,,,,,,,final_model,models/bert-base-multilingual-cased,True,outputs/dapt_multilingual_bert/final_model,3.0,0.7232142857142857,0.6068928487533138,0.5399350649350649,0.5478812550894467,0.71875,0.6471770890641236,0.5985021218290264,0.6087951665455675,,,,,,,,,,,,,,,,,,,,,,,,,
semi_supervised,gold_v2_only__multilingual_bert,,,,,outputs/semi_supervised_comparison/gold_v2_only__multilingual_bert/metrics_summary.json,outputs/semi_supervised_comparison/gold_v2_only__multilingual_bert/classification_report.csv,outputs/semi_supervised_comparison/gold_v2_only__multilingual_bert/confusion_matrix.csv,,,False,,2.0,0.5446428571428571,0.615079365079365,0.4786291486291486,0.4255780520849013,0.5357142857142857,0.5936381678177345,0.5381367191685417,0.4681138635375923,bert-base-multilingual-cased,False,0.0,"{""gold"": 1.0, ""silver"": 0.5}",1043.0,224.0,224.0,0.0,0.75,0.0491803278688524,0.0923076923076923,0.9871794871794872,0.7777777777777778,0.8700564971751412,0.1447368421052631,0.55,0.2291666666666666,0.7333333333333333,0.6470588235294118,0.6875,0.3529411764705882,0.6666666666666666,0.4615384615384615,,
semi_supervised,gold_v2_only__dapt_multilingual_bert,,,,,outputs/semi_supervised_comparison/gold_v2_only__dapt_multilingual_bert/metrics_summary.json,outputs/semi_supervised_comparison/gold_v2_only__dapt_multilingual_bert/classification_report.csv,outputs/semi_supervised_comparison/gold_v2_only__dapt_multilingual_bert/confusion_matrix.csv,,,True,,2.0,0.75,0.6699832775919733,0.5630266955266955,0.5688514172981767,0.7276785714285714,0.7120604395604395,0.6003489410336084,0.6122357138049405,final_model,False,0.0,"{""gold"": 1.0, ""silver"": 0.5}",1043.0,224.0,224.0,0.0,0.5619047619047619,0.9672131147540984,0.7108433734939759,0.9625,0.7777777777777778,0.8603351955307262,0.6,0.15,0.24,0.7692307692307693,0.5882352941176471,0.6666666666666666,0.6666666666666666,0.5185185185185185,0.5833333333333334,,
semi_supervised,gold_v2_plus_silver__multilingual_bert,,,,,outputs/semi_supervised_comparison/gold_v2_plus_silver__multilingual_bert/metrics_summary.json,outputs/semi_supervised_comparison/gold_v2_plus_silver__multilingual_bert/classification_report.csv,outputs/semi_supervised_comparison/gold_v2_plus_silver__multilingual_bert/confusion_matrix.csv,,,False,,2.0,0.6696428571428571,0.5594942691716884,0.4929256854256853,0.5026685753759279,0.6696428571428571,0.5858581818828179,0.5632927149995617,0.5534478937766859,bert-base-multilingual-cased,True,127.0,"{""gold"": 1.0, ""silver"": 0.5}",1170.0,224.0,224.0,0.0853340302390935,0.5319148936170213,0.819672131147541,0.6451612903225806,0.986842105263158,0.7575757575757576,0.8571428571428571,0.2222222222222222,0.2,0.2105263157894736,0.5454545454545454,0.7058823529411765,0.6153846153846154,0.6428571428571429,0.3333333333333333,0.4390243902439024,,
semi_supervised,gold_v2_plus_silver__dapt_multilingual_bert,,,,,outputs/semi_supervised_comparison/gold_v2_plus_silver__dapt_multilingual_bert/metrics_summary.json,outputs/semi_supervised_comparison/gold_v2_plus_silver__dapt_multilingual_bert/classification_report.csv,outputs/semi_supervised_comparison/gold_v2_plus_silver__dapt_multilingual_bert/confusion_matrix.csv,,,True,,2.0,0.71875,0.5070684273709484,0.5369588744588745,0.5117550111046765,0.7053571428571429,0.6025087673019804,0.5904307621376088,0.5742206813250721,final_model,True,127.0,"{""gold"": 1.0, ""silver"": 0.5}",1170.0,224.0,224.0,-0.0380150324798683,0.5494505494505495,0.819672131147541,0.6578947368421053,0.975609756097561,0.8080808080808081,0.8839779005524862,0.3333333333333333,0.1,0.1538461538461538,0.5454545454545454,0.7058823529411765,0.6153846153846154,0.6086956521739131,0.5185185185185185,0.56,,
gold_v1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,"labels={'black_industry_or_policy_violation': 562, 'advertisement': 153, 'phishing': 149, 'malicious_link_or_attachment': 74, 'impersonation': 62}"
gold_v2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1491.0,"increment=491 dist={'black_industry_or_policy_violation': 657, 'advertisement': 404, 'phishing': 182, 'impersonation': 137, 'malicious_link_or_attachment': 111}"
mlm_corpus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23717.0,avg_len=221.22119155036472 keep_rate=0.9882083333333334
consensus_trusted_silver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.0,dist={'black_industry_or_policy_violation': 127}
